treatment,tree_id,tree_num,deploy,site_num,id,hfa,initial_mass,final_mass
P,HOK,1,HOK,2,1,H,13.56,13.73
AB,HOK,1,HOK,2,2,H,12.61,12.36
P,HOK,2,HOK,2,3,H,13.64,13.86
AB,HOK,2,HOK,2,4,H,13,12.6
P,HOK,3,HOK,2,5,H,15.73,16.6
AB,HOK,3,HOK,2,6,H,13,12.79
P,HOK,4,HOK,2,7,H,13.71,13.87
AB,HOK,4,HOK,2,8,H,13.94,13.52
P,HOK,5,HOK,2,9,H,13.8,13.62
AB,HOK,5,HOK,2,10,H,11.26,11.61
P,SEK,1,HOK,2,11,A,13.91,14.55
AB,SEK,1,HOK,2,12,A,13.86,13.49
P,SEK,2,HOK,2,13,A,11.38,11.29
AB,SEK,2,HOK,2,14,A,13.75,12.95
P,SEK,3,HOK,2,15,A,11.2,11.62
AB,SEK,3,HOK,2,16,A,12.21,12.25
P,SEK,4,HOK,2,17,A,11.72,11.57
AB,SEK,4,HOK,2,18,A,10.3,12.32
P,SEK,5,HOK,2,19,A,11.66,12.18
AB,SEK,5,HOK,2,20,A,13.58,13.26
P,HOK,1,HOK,1,21,H,13.26,13.17
AB,HOK,1,HOK,1,22,H,13.78,12.21
P,HOK,2,HOK,1,23,H,13.76,13.78
AB,HOK,2,HOK,1,24,H,13.58,11.96
P,HOK,3,HOK,1,25,H,13.13,13.23
AB,HOK,3,HOK,1,26,H,13.74,12.82
P,HOK,4,HOK,1,27,H,13.53,13.56
AB,HOK,4,HOK,1,28,H,13.19,10.99
P,HOK,5,HOK,1,29,H,13.94,13.86
AB,HOK,5,HOK,1,30,H,13.86,12.96
P,SEK,1,HOK,1,31,A,13.52,13.54
AB,SEK,1,HOK,1,32,A,13.64,11.5
P,SEK,2,HOK,1,33,A,12.08,11.69
AB,SEK,2,HOK,1,34,A,13.89,11.01
P,SEK,3,HOK,1,35,A,14.09,14.65
AB,SEK,3,HOK,1,36,A,12.34,11.58
P,SEK,4,HOK,1,37,A,11.17,11.66
AB,SEK,4,HOK,1,38,A,12.29,11.73
P,SEK,5,HOK,1,39,A,8.77,8.46
AB,SEK,5,HOK,1,40,A,13.04,12.07
P,HOK,1,SEK,2,41,A,13.16,14.09
AB,HOK,1,SEK,2,42,A,13.44,14.19
P,HOK,2,SEK,2,43,A,13.83,14.6
AB,HOK,2,SEK,2,44,A,13.95,15.31
P,HOK,3,SEK,2,45,A,13.57,14.17
AB,HOK,3,SEK,2,46,A,11.85,12.73
P,HOK,4,SEK,2,47,A,13.03,13.05
AB,HOK,4,SEK,2,48,A,13.6,14.77
P,HOK,5,SEK,2,49,A,11.57,11.58
AB,HOK,5,SEK,2,50,A,13.58,14.59
P,SEK,1,SEK,2,51,H,12.82,12.88
AB,SEK,1,SEK,2,52,H,13.37,13.42
P,SEK,2,SEK,2,53,H,11.15,11.87
AB,SEK,2,SEK,2,54,H,13.29,12.75
P,SEK,3,SEK,2,55,H,13.94,12.7
AB,SEK,3,SEK,2,56,H,9.55,10.86
P,SEK,4,SEK,2,57,H,13.93,10.98
AB,SEK,4,SEK,2,58,H,10.15,11.72
P,SEK,5,SEK,2,59,H,13.53,13.1
AB,SEK,5,SEK,2,60,H,12.93,12.94
P,HOK,1,SEK,1,61,A,13.61,14.54
AB,HOK,1,SEK,1,62,A,13.31,12.94
P,HOK,2,SEK,1,63,A,13.73,14.05
AB,HOK,2,SEK,1,64,A,12.55,11.56
P,HOK,3,SEK,1,65,A,12.02,13.24
AB,HOK,3,SEK,1,66,A,13.19,13.53
P,HOK,4,SEK,1,67,A,13.6,14.07
AB,HOK,4,SEK,1,68,A,13.79,14.18
P,HOK,5,SEK,1,69,A,13.62,14.38
AB,HOK,5,SEK,1,70,A,13.95,13.85
P,SEK,1,SEK,1,71,H,11.45,12.32
AB,SEK,1,SEK,1,72,H,13.08,12.04
P,SEK,2,SEK,1,73,H,11.7,12.56
AB,SEK,2,SEK,1,74,H,13.55,13.94
P,SEK,3,SEK,1,75,H,11.72,12.4
AB,SEK,3,SEK,1,76,H,12.24,11.57
P,SEK,4,SEK,1,77,H,11.18,11.72
AB,SEK,4,SEK,1,78,H,11.34,10.83
P,SEK,5,SEK,1,79,H,13.68,13.17
AB,SEK,5,SEK,1,80,H,12.76,13.04